tenure,monthly_charges,total_charges,support_calls,data_usage_gb,contract_type,payment_method,internet_service,paperless_billing,is_senior,churned
6,26.21,315.72,5,19.43,month-to-month,credit_card,dsl,1,0,1
55,65.83,3507.37,8,14.76,one-year,credit_card,dsl,0,0,1
47,32.9,1135.37,6,21.06,one-year,bank_transfer,none,0,0,0
31,35.23,827.09,3,18.51,two-year,electronic_check,fiber,0,0,0
31,83.23,2793.37,0,13.15,one-year,mailed_check,fiber,0,0,0
61,59.29,3556.5,6,49.85,one-year,electronic_check,none,1,0,1
6,112.19,560.53,7,5.45,month-to-month,electronic_check,fiber,0,0,1
50,51.92,2842.4,6,7.11,month-to-month,mailed_check,fiber,1,0,0
14,92.62,1486.45,10,31.11,one-year,bank_transfer,fiber,1,0,1
6,66.11,400.33,6,18.99,one-year,electronic_check,dsl,1,0,0
37,86.0,3137.99,5,9.23,month-to-month,bank_transfer,fiber,1,0,0
70,79.97,5578.08,0,16.41,month-to-month,bank_transfer,none,0,1,0
52,67.28,3532.63,6,5.72,month-to-month,bank_transfer,dsl,1,0,1
54,115.01,6450.55,1,28.61,month-to-month,credit_card,dsl,0,0,0
51,54.27,2831.14,7,25.87,month-to-month,electronic_check,fiber,1,0,0
56,37.72,2221.22,1,3.91,month-to-month,credit_card,fiber,1,0,0
36,87.81,3336.55,9,0.38,month-to-month,electronic_check,dsl,0,0,1
9,104.6,765.95,3,2.47,one-year,mailed_check,dsl,0,0,0
60,24.03,1555.03,4,7.63,one-year,bank_transfer,dsl,1,1,0
32,64.96,2034.53,1,101.86,one-year,credit_card,dsl,1,1,0
36,109.25,3555.59,2,27.35,one-year,bank_transfer,fiber,1,0,0
26,94.96,2149.73,10,9.91,month-to-month,bank_transfer,fiber,0,0,1
13,119.18,1396.62,3,14.14,month-to-month,mailed_check,fiber,1,0,0
66,73.14,4906.92,5,7.45,one-year,electronic_check,dsl,1,0,0
56,86.0,4833.07,10,4.09,two-year,electronic_check,fiber,0,0,1
46,50.25,2339.16,6,11.92,one-year,bank_transfer,dsl,1,0,0
28,114.75,3505.64,0,46.9,one-year,electronic_check,fiber,1,0,1
59,56.63,3150.81,3,55.42,one-year,electronic_check,none,1,1,0
39,93.85,3656.03,4,8.34,one-year,credit_card,fiber,0,0,0
31,60.31,1915.28,3,18.28,one-year,credit_card,none,0,0,0
32,76.18,2327.32,2,22.98,one-year,credit_card,dsl,1,0,0
16,91.98,1475.93,5,14.22,month-to-month,bank_transfer,dsl,1,0,0
6,70.89,185.35,4,39.82,month-to-month,mailed_check,fiber,0,0,1
39,110.71,4529.18,3,12.07,month-to-month,electronic_check,dsl,1,0,1
63,61.93,3799.35,4,10.49,month-to-month,bank_transfer,none,0,0,1
4,84.71,643.55,3,8.74,one-year,mailed_check,dsl,1,0,0
61,54.24,3303.77,2,14.14,month-to-month,credit_card,fiber,0,0,0
59,60.82,3742.59,4,0.78,month-to-month,credit_card,dsl,0,0,0
